media_id,engagement,impressions,reach,saved,time_period,created_date
1.79129E+16,138,360,340,2,lifetime,2021-09-29 15:00:50.770665+00
1.79735E+16,153,405,343,3,lifetime,2021-09-29 15:00:50.770665+00
1.79003E+16,143,539,500,2,lifetime,2021-09-29 15:00:50.770665+00
1.79809E+16,244,1651,1569,6,lifetime,2021-09-29 15:00:50.770665+00
1.7911E+16,225,606,473,9,lifetime,2021-09-29 15:00:50.770665+00
1.79208E+16,237,1257,1238,6,lifetime,2021-09-29 15:00:50.770665+00
1.8175E+16,256,808,702,3,lifetime,2021-09-29 15:00:50.770665+00
1.81905E+16,169,412,334,3,lifetime,2021-09-29 15:00:50.770665+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 15:00:50.770665+00
1.79129E+16,184,464,430,2,lifetime,2021-10-01 11:00:55.747081+00
1.79735E+16,166,481,408,3,lifetime,2021-10-01 11:00:55.747081+00
1.79003E+16,151,563,518,2,lifetime,2021-10-01 11:00:55.747081+00
1.79809E+16,248,1670,1584,6,lifetime,2021-10-01 11:00:55.747081+00
1.7911E+16,227,634,497,9,lifetime,2021-10-01 11:00:55.747081+00
1.79208E+16,239,1272,1260,6,lifetime,2021-10-01 11:00:55.747081+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 11:00:55.747081+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 11:00:55.747081+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 11:00:55.747081+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 11:00:55.747081+00
1.79129E+16,160,414,390,2,lifetime,2021-09-30 02:00:55.842782+00
1.79735E+16,160,421,357,3,lifetime,2021-09-30 02:00:55.842782+00
1.79003E+16,146,549,508,2,lifetime,2021-09-30 02:00:55.842782+00
1.79809E+16,247,1657,1573,6,lifetime,2021-09-30 02:00:55.842782+00
1.7911E+16,226,611,478,9,lifetime,2021-09-30 02:00:55.842782+00
1.79208E+16,238,1261,1245,6,lifetime,2021-09-30 02:00:55.842782+00
1.8175E+16,257,812,707,3,lifetime,2021-09-30 02:00:55.842782+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 02:00:55.842782+00
1.79236E+16,248,734,631,4,lifetime,2021-09-30 02:00:55.842782+00
1.79129E+16,143,368,348,2,lifetime,2021-09-29 16:00:53.409624+00
1.79735E+16,156,406,343,3,lifetime,2021-09-29 16:00:53.409624+00
1.79003E+16,144,540,502,2,lifetime,2021-09-29 16:00:53.409624+00
1.79809E+16,245,1652,1571,6,lifetime,2021-09-29 16:00:53.409624+00
1.7911E+16,226,607,474,9,lifetime,2021-09-29 16:00:53.409624+00
1.79208E+16,238,1258,1240,6,lifetime,2021-09-29 16:00:53.409624+00
1.8175E+16,257,809,703,3,lifetime,2021-09-29 16:00:53.409624+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 16:00:53.409624+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 16:00:53.409624+00
1.79129E+16,184,464,430,2,lifetime,2021-10-01 12:00:54.673384+00
1.79735E+16,166,482,409,3,lifetime,2021-10-01 12:00:54.673384+00
1.79003E+16,151,563,518,2,lifetime,2021-10-01 12:00:54.673384+00
1.79809E+16,248,1671,1586,6,lifetime,2021-10-01 12:00:54.673384+00
1.7911E+16,227,635,498,9,lifetime,2021-10-01 12:00:54.673384+00
1.79208E+16,239,1274,1262,6,lifetime,2021-10-01 12:00:54.673384+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 12:00:54.673384+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 12:00:54.673384+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 12:00:54.673384+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 12:00:54.673384+00
1.79129E+16,147,378,357,2,lifetime,2021-09-29 17:00:54.485582+00
1.79735E+16,158,408,346,3,lifetime,2021-09-29 17:00:54.485582+00
1.79003E+16,145,541,502,2,lifetime,2021-09-29 17:00:54.485582+00
1.79809E+16,246,1653,1571,6,lifetime,2021-09-29 17:00:54.485582+00
1.7911E+16,226,607,474,9,lifetime,2021-09-29 17:00:54.485582+00
1.79208E+16,238,1258,1240,6,lifetime,2021-09-29 17:00:54.485582+00
1.8175E+16,257,809,703,3,lifetime,2021-09-29 17:00:54.485582+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 17:00:54.485582+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 17:00:54.485582+00
1.79129E+16,161,419,395,2,lifetime,2021-09-30 03:00:51.900754+00
1.79735E+16,161,426,362,3,lifetime,2021-09-30 03:00:51.900754+00
1.79003E+16,146,549,508,2,lifetime,2021-09-30 03:00:51.900754+00
1.79809E+16,247,1657,1573,6,lifetime,2021-09-30 03:00:51.900754+00
1.7911E+16,226,613,479,9,lifetime,2021-09-30 03:00:51.900754+00
1.79208E+16,238,1261,1245,6,lifetime,2021-09-30 03:00:51.900754+00
1.8175E+16,257,812,709,3,lifetime,2021-09-30 03:00:51.900754+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 03:00:51.900754+00
1.79236E+16,248,734,631,4,lifetime,2021-09-30 03:00:51.900754+00
1.79129E+16,184,464,430,2,lifetime,2021-10-01 13:00:53.30912+00
1.79735E+16,166,483,409,3,lifetime,2021-10-01 13:00:53.30912+00
1.79003E+16,151,563,518,2,lifetime,2021-10-01 13:00:53.30912+00
1.79809E+16,248,1671,1586,6,lifetime,2021-10-01 13:00:53.30912+00
1.7911E+16,227,635,498,9,lifetime,2021-10-01 13:00:53.30912+00
1.79208E+16,239,1274,1262,6,lifetime,2021-10-01 13:00:53.30912+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 13:00:53.30912+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 13:00:53.30912+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 13:00:53.30912+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 13:00:53.30912+00
1.79129E+16,147,382,361,2,lifetime,2021-09-29 18:00:54.13183+00
1.79735E+16,158,410,349,3,lifetime,2021-09-29 18:00:54.13183+00
1.79003E+16,145,542,502,2,lifetime,2021-09-29 18:00:54.13183+00
1.79809E+16,246,1654,1571,6,lifetime,2021-09-29 18:00:54.13183+00
1.7911E+16,226,608,474,9,lifetime,2021-09-29 18:00:54.13183+00
1.79208E+16,238,1258,1240,6,lifetime,2021-09-29 18:00:54.13183+00
1.8175E+16,257,809,703,3,lifetime,2021-09-29 18:00:54.13183+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 18:00:54.13183+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 18:00:54.13183+00
1.79129E+16,148,384,367,2,lifetime,2021-09-29 19:00:49.972913+00
1.79735E+16,158,413,352,3,lifetime,2021-09-29 19:00:49.972913+00
1.79003E+16,145,544,503,2,lifetime,2021-09-29 19:00:49.972913+00
1.79809E+16,246,1655,1571,6,lifetime,2021-09-29 19:00:49.972913+00
1.7911E+16,226,608,475,9,lifetime,2021-09-29 19:00:49.972913+00
1.79208E+16,238,1260,1242,6,lifetime,2021-09-29 19:00:49.972913+00
1.8175E+16,257,809,704,3,lifetime,2021-09-29 19:00:49.972913+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 19:00:49.972913+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 19:00:49.972913+00
1.79129E+16,184,464,430,2,lifetime,2021-10-01 14:01:00.776347+00
1.79735E+16,166,483,409,3,lifetime,2021-10-01 14:01:00.776347+00
1.79003E+16,151,563,518,2,lifetime,2021-10-01 14:01:00.776347+00
1.79809E+16,248,1671,1586,6,lifetime,2021-10-01 14:01:00.776347+00
1.7911E+16,227,635,498,9,lifetime,2021-10-01 14:01:00.776347+00
1.79208E+16,239,1274,1262,6,lifetime,2021-10-01 14:01:00.776347+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 14:01:00.776347+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 14:01:00.776347+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 14:01:00.776347+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 14:01:00.776347+00
1.79129E+16,161,422,398,2,lifetime,2021-09-30 04:00:49.890797+00
1.79735E+16,161,434,371,3,lifetime,2021-09-30 04:00:49.890797+00
1.79003E+16,146,549,508,2,lifetime,2021-09-30 04:00:49.890797+00
1.79809E+16,247,1657,1573,6,lifetime,2021-09-30 04:00:49.890797+00
1.7911E+16,226,613,479,9,lifetime,2021-09-30 04:00:49.890797+00
1.79208E+16,238,1261,1245,6,lifetime,2021-09-30 04:00:49.890797+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 04:00:49.890797+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 04:00:49.890797+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 04:00:49.890797+00
1.79129E+16,150,390,371,2,lifetime,2021-09-29 20:00:54.807636+00
1.79735E+16,158,415,354,3,lifetime,2021-09-29 20:00:54.807636+00
1.79003E+16,145,545,506,2,lifetime,2021-09-29 20:00:54.807636+00
1.79809E+16,246,1655,1573,6,lifetime,2021-09-29 20:00:54.807636+00
1.7911E+16,226,609,475,9,lifetime,2021-09-29 20:00:54.807636+00
1.79208E+16,238,1260,1243,6,lifetime,2021-09-29 20:00:54.807636+00
1.8175E+16,257,810,704,3,lifetime,2021-09-29 20:00:54.807636+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 20:00:54.807636+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 20:00:54.807636+00
1.79129E+16,184,465,431,2,lifetime,2021-10-01 15:00:58.504261+00
1.79735E+16,166,483,409,3,lifetime,2021-10-01 15:00:58.504261+00
1.79003E+16,151,563,518,2,lifetime,2021-10-01 15:00:58.504261+00
1.79809E+16,248,1672,1586,6,lifetime,2021-10-01 15:00:58.504261+00
1.7911E+16,227,636,499,9,lifetime,2021-10-01 15:00:58.504261+00
1.79208E+16,239,1275,1262,6,lifetime,2021-10-01 15:00:58.504261+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 15:00:58.504261+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 15:00:58.504261+00
