user_account,followers_count,follows_count,media_count,created_date,followers_count_group,,,
nomadpursuit,958,417,72,2021-09-29 15:00:36.805505+00,Under 1k,,,
nomadpursuit,962,423,73,2021-10-01 11:00:41.451166+00,Under 1k,,,
 comp 2,1102,889,25,2021-09-29 15:00:36.805505+00,1k-5k,,,
 comp 3,857,428,100,2021-09-29 15:00:36.805505+00,Under 1k,,,
 comp 2,1155,894,25,2021-10-01 11:00:41.451166+00,1k-5k,,,
 comp 3,865,431,102,2021-10-01 11:00:41.451166+00,Under 1k,,,
 comp 10,11417,4232,378,2021-10-01 11:00:41.451166+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 11:00:41.451166+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 11:00:41.451166+00,5k-10k,,,
 comp 17,16963,855,264,2021-10-01 11:00:41.451166+00,Over 10k,,,
 comp 10,11421,4232,377,2021-09-29 15:00:36.805505+00,Over 10k,,,
 comp 18,6050,1745,674,2021-10-01 11:00:41.451166+00,5k-10k,,,
 comp 14,3483,820,89,2021-09-29 15:00:36.805505+00,1k-5k,,,
 comp 15,9071,6862,976,2021-09-29 15:00:36.805505+00,5k-10k,,,
 comp 17,16647,852,263,2021-09-29 15:00:36.805505+00,Over 10k,,,
 comp 18,6036,1741,671,2021-09-29 15:00:36.805505+00,5k-10k,,,
nomadpursuit,961,420,72,2021-09-30 14:00:39.19891+00,Under 1k,,,
 comp 2,1128,885,25,2021-09-30 14:00:39.19891+00,1k-5k,,,
 comp 3,857,429,102,2021-09-30 14:00:39.19891+00,Under 1k,,,
 comp 10,11418,4232,377,2021-09-30 14:00:39.19891+00,Over 10k,,,
 comp 14,3482,820,90,2021-09-30 14:00:39.19891+00,1k-5k,,,
 comp 15,9072,6866,976,2021-09-30 14:00:39.19891+00,5k-10k,,,
 comp 17,16818,853,264,2021-09-30 14:00:39.19891+00,Over 10k,,,
 comp 18,6041,1743,671,2021-09-30 14:00:39.19891+00,5k-10k,,,
nomadpursuit,961,421,72,2021-09-30 16:00:38.918098+00,Under 1k,,,
 comp 2,1134,891,25,2021-09-30 16:00:38.918098+00,1k-5k,,,
 comp 3,860,429,102,2021-09-30 16:00:38.918098+00,Under 1k,,,
 comp 10,11419,4233,377,2021-09-30 16:00:38.918098+00,Over 10k,,,
 comp 14,3484,821,90,2021-09-30 16:00:38.918098+00,1k-5k,,,
 comp 15,9071,6866,976,2021-09-30 16:00:38.918098+00,5k-10k,,,
 comp 17,16832,853,264,2021-09-30 16:00:38.918098+00,Over 10k,,,
 comp 18,6043,1743,672,2021-09-30 16:00:38.918098+00,5k-10k,,,
nomadpursuit,962,422,72,2021-10-01 00:00:36.915064+00,Under 1k,,,
 comp 2,1147,898,25,2021-10-01 00:00:36.915064+00,1k-5k,,,
 comp 3,859,431,102,2021-10-01 00:00:36.915064+00,Under 1k,,,
 comp 10,11417,4234,378,2021-10-01 00:00:36.915064+00,Over 10k,,,
 comp 14,3485,822,90,2021-10-01 00:00:36.915064+00,1k-5k,,,
 comp 15,9068,6870,976,2021-10-01 00:00:36.915064+00,5k-10k,,,
 comp 17,16913,853,264,2021-10-01 00:00:36.915064+00,Over 10k,,,
 comp 18,6044,1743,672,2021-10-01 00:00:36.915064+00,5k-10k,,,
nomadpursuit,961,422,72,2021-10-01 01:00:38.092593+00,Under 1k,,,
 comp 2,1149,899,25,2021-10-01 01:00:38.092593+00,1k-5k,,,
 comp 3,861,431,102,2021-10-01 01:00:38.092593+00,Under 1k,,,
 comp 10,11414,4234,378,2021-10-01 01:00:38.092593+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 01:00:38.092593+00,1k-5k,,,
nomadpursuit,960,417,72,2021-09-29 16:00:37.120396+00,Under 1k,,,
nomadpursuit,962,423,73,2021-10-01 12:00:36.651143+00,Under 1k,,,
 comp 2,1104,889,25,2021-09-29 16:00:37.120396+00,1k-5k,,,
 comp 3,857,428,100,2021-09-29 16:00:37.120396+00,Under 1k,,,
 comp 2,1155,894,25,2021-10-01 12:00:36.651143+00,1k-5k,,,
 comp 3,863,431,102,2021-10-01 12:00:36.651143+00,Under 1k,,,
 comp 10,11418,4232,378,2021-10-01 12:00:36.651143+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 12:00:36.651143+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 12:00:36.651143+00,5k-10k,,,
 comp 17,16972,855,264,2021-10-01 12:00:36.651143+00,Over 10k,,,
 comp 10,11421,4232,377,2021-09-29 16:00:37.120396+00,Over 10k,,,
 comp 18,6050,1745,674,2021-10-01 12:00:36.651143+00,5k-10k,,,
 comp 14,3484,820,89,2021-09-29 16:00:37.120396+00,1k-5k,,,
 comp 15,9071,6862,976,2021-09-29 16:00:37.120396+00,5k-10k,,,
 comp 17,16662,853,263,2021-09-29 16:00:37.120396+00,Over 10k,,,
 comp 18,6035,1740,671,2021-09-29 16:00:37.120396+00,5k-10k,,,
nomadpursuit,961,421,72,2021-09-30 15:00:37.252199+00,Under 1k,,,
 comp 2,1130,886,25,2021-09-30 15:00:37.252199+00,1k-5k,,,
 comp 3,860,429,102,2021-09-30 15:00:37.252199+00,Under 1k,,,
 comp 10,11418,4232,377,2021-09-30 15:00:37.252199+00,Over 10k,,,
 comp 14,3483,821,90,2021-09-30 15:00:37.252199+00,1k-5k,,,
 comp 15,9071,6866,976,2021-09-30 15:00:37.252199+00,5k-10k,,,
 comp 17,16822,853,264,2021-09-30 15:00:37.252199+00,Over 10k,,,
 comp 18,6043,1743,671,2021-09-30 15:00:37.252199+00,5k-10k,,,
nomadpursuit,961,421,72,2021-09-30 17:01:27.339125+00,Under 1k,,,
 comp 2,1136,895,25,2021-09-30 17:01:27.339125+00,1k-5k,,,
 comp 3,858,429,102,2021-09-30 17:01:27.339125+00,Under 1k,,,
 comp 10,11417,4234,377,2021-09-30 17:01:27.339125+00,Over 10k,,,
 comp 14,3485,820,90,2021-09-30 17:01:27.339125+00,1k-5k,,,
 comp 15,9069,6866,976,2021-09-30 17:01:27.339125+00,5k-10k,,,
 comp 17,16835,854,264,2021-09-30 17:01:27.339125+00,Over 10k,,,
 comp 18,6044,1743,672,2021-09-30 17:01:27.339125+00,5k-10k,,,
 comp 15,9069,6871,976,2021-10-01 01:00:38.092593+00,5k-10k,,,
 comp 17,16918,853,264,2021-10-01 01:00:38.092593+00,Over 10k,,,
 comp 18,6044,1744,672,2021-10-01 01:00:38.092593+00,5k-10k,,,
nomadpursuit,960,418,72,2021-09-29 17:00:40.193127+00,Under 1k,,,
 comp 2,1104,890,25,2021-09-29 17:00:40.193127+00,1k-5k,,,
 comp 3,857,428,100,2021-09-29 17:00:40.193127+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-29 17:00:40.193127+00,Over 10k,,,
 comp 14,3484,820,90,2021-09-29 17:00:40.193127+00,1k-5k,,,
 comp 15,9071,6862,976,2021-09-29 17:00:40.193127+00,5k-10k,,,
 comp 17,16671,854,263,2021-09-29 17:00:40.193127+00,Over 10k,,,
 comp 18,6036,1740,671,2021-09-29 17:00:40.193127+00,5k-10k,,,
nomadpursuit,961,420,72,2021-09-30 18:00:42.136037+00,Under 1k,,,
 comp 2,1142,897,25,2021-09-30 18:00:42.136037+00,1k-5k,,,
 comp 3,859,429,102,2021-09-30 18:00:42.136037+00,Under 1k,,,
 comp 10,11417,4234,377,2021-09-30 18:00:42.136037+00,Over 10k,,,
nomadpursuit,962,423,73,2021-10-01 13:00:37.201179+00,Under 1k,,,
 comp 2,1157,895,25,2021-10-01 13:00:37.201179+00,1k-5k,,,
 comp 3,863,431,102,2021-10-01 13:00:37.201179+00,Under 1k,,,
 comp 14,3485,820,90,2021-09-30 18:00:42.136037+00,1k-5k,,,
 comp 15,9070,6866,976,2021-09-30 18:00:42.136037+00,5k-10k,,,
 comp 10,11418,4232,378,2021-10-01 13:00:37.201179+00,Over 10k,,,
 comp 17,16841,854,264,2021-09-30 18:00:42.136037+00,Over 10k,,,
 comp 18,6044,1743,672,2021-09-30 18:00:42.136037+00,5k-10k,,,
 comp 14,3488,822,90,2021-10-01 13:00:37.201179+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 13:00:37.201179+00,5k-10k,,,
nomadpursuit,962,422,73,2021-10-01 02:00:37.078305+00,Under 1k,,,
 comp 17,16980,856,264,2021-10-01 13:00:37.201179+00,Over 10k,,,
 comp 2,1149,900,25,2021-10-01 02:00:37.078305+00,1k-5k,,,
 comp 3,859,431,102,2021-10-01 02:00:37.078305+00,Under 1k,,,
 comp 18,6050,1745,674,2021-10-01 13:00:37.201179+00,5k-10k,,,
 comp 10,11417,4234,378,2021-10-01 02:00:37.078305+00,Over 10k,,,
 comp 14,3486,822,90,2021-10-01 02:00:37.078305+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 02:00:37.078305+00,5k-10k,,,
 comp 17,16926,853,264,2021-10-01 02:00:37.078305+00,Over 10k,,,
 comp 18,6044,1743,672,2021-10-01 02:00:37.078305+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-29 18:00:38.837512+00,Under 1k,,,
 comp 2,1102,890,25,2021-09-29 18:00:38.837512+00,1k-5k,,,
 comp 3,857,428,100,2021-09-29 18:00:38.837512+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-29 18:00:38.837512+00,Over 10k,,,
 comp 14,3484,820,90,2021-09-29 18:00:38.837512+00,1k-5k,,,
 comp 15,9071,6862,976,2021-09-29 18:00:38.837512+00,5k-10k,,,
 comp 17,16678,854,263,2021-09-29 18:00:38.837512+00,Over 10k,,,
 comp 18,6036,1740,671,2021-09-29 18:00:38.837512+00,5k-10k,,,
nomadpursuit,960,421,72,2021-09-30 19:00:43.802271+00,Under 1k,,,
 comp 2,1144,898,25,2021-09-30 19:00:43.802271+00,1k-5k,,,
 comp 3,859,429,102,2021-09-30 19:00:43.802271+00,Under 1k,,,
 comp 10,11417,4234,377,2021-09-30 19:00:43.802271+00,Over 10k,,,
 comp 14,3485,820,90,2021-09-30 19:00:43.802271+00,1k-5k,,,
 comp 15,9071,6866,976,2021-09-30 19:00:43.802271+00,5k-10k,,,
 comp 17,16850,854,264,2021-09-30 19:00:43.802271+00,Over 10k,,,
 comp 18,6044,1744,672,2021-09-30 19:00:43.802271+00,5k-10k,,,
nomadpursuit,962,422,73,2021-10-01 03:00:39.071279+00,Under 1k,,,
 comp 2,1150,900,25,2021-10-01 03:00:39.071279+00,1k-5k,,,
 comp 3,859,431,102,2021-10-01 03:00:39.071279+00,Under 1k,,,
 comp 10,11418,4234,378,2021-10-01 03:00:39.071279+00,Over 10k,,,
 comp 14,3486,822,90,2021-10-01 03:00:39.071279+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 03:00:39.071279+00,5k-10k,,,
 comp 17,16933,853,264,2021-10-01 03:00:39.071279+00,Over 10k,,,
 comp 18,6044,1743,672,2021-10-01 03:00:39.071279+00,5k-10k,,,
nomadpursuit,960,418,72,2021-09-29 19:00:35.248046+00,Under 1k,,,
 comp 2,1104,890,25,2021-09-29 19:00:35.248046+00,1k-5k,,,
 comp 3,858,428,100,2021-09-29 19:00:35.248046+00,Under 1k,,,
nomadpursuit,962,423,73,2021-10-01 14:00:41.911862+00,Under 1k,,,
 comp 2,1158,896,25,2021-10-01 14:00:41.911862+00,1k-5k,,,
 comp 3,864,431,102,2021-10-01 14:00:41.911862+00,Under 1k,,,
 comp 10,11417,4232,378,2021-10-01 14:00:41.911862+00,Over 10k,,,
 comp 10,11420,4232,377,2021-09-29 19:00:35.248046+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 14:00:41.911862+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 14:00:41.911862+00,5k-10k,,,
 comp 17,16986,856,264,2021-10-01 14:00:41.911862+00,Over 10k,,,
 comp 14,3484,820,90,2021-09-29 19:00:35.248046+00,1k-5k,,,
 comp 15,9071,6865,976,2021-09-29 19:00:35.248046+00,5k-10k,,,
 comp 18,6048,1746,674,2021-10-01 14:00:41.911862+00,5k-10k,,,
 comp 17,16684,854,263,2021-09-29 19:00:35.248046+00,Over 10k,,,
 comp 18,6035,1740,671,2021-09-29 19:00:35.248046+00,5k-10k,,,
nomadpursuit,961,420,72,2021-09-30 20:00:37.575536+00,Under 1k,,,
 comp 2,1143,897,25,2021-09-30 20:00:37.575536+00,1k-5k,,,
 comp 3,858,429,102,2021-09-30 20:00:37.575536+00,Under 1k,,,
 comp 10,11417,4234,377,2021-09-30 20:00:37.575536+00,Over 10k,,,
 comp 14,3487,820,90,2021-09-30 20:00:37.575536+00,1k-5k,,,
 comp 15,9071,6866,976,2021-09-30 20:00:37.575536+00,5k-10k,,,
 comp 17,16856,854,264,2021-09-30 20:00:37.575536+00,Over 10k,,,
 comp 18,6043,1743,672,2021-09-30 20:00:37.575536+00,5k-10k,,,
nomadpursuit,962,422,73,2021-10-01 04:00:37.149986+00,Under 1k,,,
 comp 2,1151,901,25,2021-10-01 04:00:37.149986+00,1k-5k,,,
 comp 3,861,431,102,2021-10-01 04:00:37.149986+00,Under 1k,,,
 comp 10,11415,4234,378,2021-10-01 04:00:37.149986+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 04:00:37.149986+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 04:00:37.149986+00,5k-10k,,,
 comp 17,16938,853,264,2021-10-01 04:00:37.149986+00,Over 10k,,,
 comp 18,6044,1744,672,2021-10-01 04:00:37.149986+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-29 20:00:39.095986+00,Under 1k,,,
 comp 2,1103,890,25,2021-09-29 20:00:39.095986+00,1k-5k,,,
 comp 3,859,428,100,2021-09-29 20:00:39.095986+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-29 20:00:39.095986+00,Over 10k,,,
 comp 14,3483,820,90,2021-09-29 20:00:39.095986+00,1k-5k,,,
 comp 15,9071,6861,976,2021-09-29 20:00:39.095986+00,5k-10k,,,
 comp 17,16703,854,263,2021-09-29 20:00:39.095986+00,Over 10k,,,
 comp 18,6040,1740,671,2021-09-29 20:00:39.095986+00,5k-10k,,,
nomadpursuit,963,423,72,2021-09-30 21:00:38.762031+00,Under 1k,,,
 comp 2,1146,897,25,2021-09-30 21:00:38.762031+00,1k-5k,,,
 comp 3,858,430,102,2021-09-30 21:00:38.762031+00,Under 1k,,,
 comp 10,11416,4234,378,2021-09-30 21:00:38.762031+00,Over 10k,,,
 comp 14,3485,821,90,2021-09-30 21:00:38.762031+00,1k-5k,,,
 comp 15,9072,6867,976,2021-09-30 21:00:38.762031+00,5k-10k,,,
 comp 17,16871,854,264,2021-09-30 21:00:38.762031+00,Over 10k,,,
 comp 18,6042,1743,672,2021-09-30 21:00:38.762031+00,5k-10k,,,
nomadpursuit,962,422,73,2021-10-01 05:00:37.872908+00,Under 1k,,,
nomadpursuit,962,424,73,2021-10-01 15:00:39.998477+00,Under 1k,,,
 comp 2,1151,902,25,2021-10-01 05:00:37.872908+00,1k-5k,,,
 comp 3,862,431,102,2021-10-01 05:00:37.872908+00,Under 1k,,,
 comp 2,1158,834,25,2021-10-01 15:00:39.998477+00,1k-5k,,,
 comp 3,864,431,102,2021-10-01 15:00:39.998477+00,Under 1k,,,
 comp 10,11417,4232,378,2021-10-01 15:00:39.998477+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 15:00:39.998477+00,1k-5k,,,
 comp 15,9067,6871,976,2021-10-01 15:00:39.998477+00,5k-10k,,,
 comp 17,17007,856,264,2021-10-01 15:00:39.998477+00,Over 10k,,,
 comp 10,11415,4234,378,2021-10-01 05:00:37.872908+00,Over 10k,,,
 comp 18,6049,1746,674,2021-10-01 15:00:39.998477+00,5k-10k,,,
 comp 14,3486,822,90,2021-10-01 05:00:37.872908+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 05:00:37.872908+00,5k-10k,,,
 comp 17,16946,853,264,2021-10-01 05:00:37.872908+00,Over 10k,,,
 comp 18,6044,1744,672,2021-10-01 05:00:37.872908+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-29 21:00:37.003645+00,Under 1k,,,
 comp 2,1104,890,25,2021-09-29 21:00:37.003645+00,1k-5k,,,
 comp 3,860,428,100,2021-09-29 21:00:37.003645+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-29 21:00:37.003645+00,Over 10k,,,
 comp 14,3482,820,90,2021-09-29 21:00:37.003645+00,1k-5k,,,
 comp 15,9071,6861,976,2021-09-29 21:00:37.003645+00,5k-10k,,,
 comp 17,16705,854,263,2021-09-29 21:00:37.003645+00,Over 10k,,,
 comp 18,6042,1740,671,2021-09-29 21:00:37.003645+00,5k-10k,,,
nomadpursuit,962,423,72,2021-09-30 22:00:35.397315+00,Under 1k,,,
 comp 2,1148,897,25,2021-09-30 22:00:35.397315+00,1k-5k,,,
 comp 3,859,430,102,2021-09-30 22:00:35.397315+00,Under 1k,,,
 comp 10,11417,4234,378,2021-09-30 22:00:35.397315+00,Over 10k,,,
 comp 14,3485,822,90,2021-09-30 22:00:35.397315+00,1k-5k,,,
 comp 15,9071,6867,976,2021-09-30 22:00:35.397315+00,5k-10k,,,
 comp 17,16888,853,264,2021-09-30 22:00:35.397315+00,Over 10k,,,
 comp 18,6042,1743,672,2021-09-30 22:00:35.397315+00,5k-10k,,,
nomadpursuit,962,422,73,2021-10-01 06:00:37.619991+00,Under 1k,,,
 comp 2,1153,903,25,2021-10-01 06:00:37.619991+00,1k-5k,,,
 comp 3,863,431,102,2021-10-01 06:00:37.619991+00,Under 1k,,,
 comp 10,11416,4234,378,2021-10-01 06:00:37.619991+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 06:00:37.619991+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 06:00:37.619991+00,5k-10k,,,
 comp 17,16952,853,264,2021-10-01 06:00:37.619991+00,Over 10k,,,
 comp 18,6044,1744,673,2021-10-01 06:00:37.619991+00,5k-10k,,,
nomadpursuit,962,418,72,2021-09-29 22:00:36.49921+00,Under 1k,,,
 comp 2,1105,890,25,2021-09-29 22:00:36.49921+00,1k-5k,,,
 comp 3,860,428,100,2021-09-29 22:00:36.49921+00,Under 1k,,,
 comp 10,11420,4232,377,2021-09-29 22:00:36.49921+00,Over 10k,,,
 comp 14,3480,820,90,2021-09-29 22:00:36.49921+00,1k-5k,,,
 comp 15,9072,6866,976,2021-09-29 22:00:36.49921+00,5k-10k,,,
 comp 17,16716,854,263,2021-09-29 22:00:36.49921+00,Over 10k,,,
 comp 18,6040,1740,671,2021-09-29 22:00:36.49921+00,5k-10k,,,
nomadpursuit,962,425,73,2021-10-01 16:00:39.73867+00,Under 1k,,,
 comp 2,1163,904,25,2021-10-01 16:00:39.73867+00,1k-5k,,,
nomadpursuit,962,422,72,2021-09-30 23:00:35.965228+00,Under 1k,,,
 comp 3,864,431,102,2021-10-01 16:00:39.73867+00,Under 1k,,,
 comp 2,1145,892,25,2021-09-30 23:00:35.965228+00,1k-5k,,,
 comp 3,861,430,102,2021-09-30 23:00:35.965228+00,Under 1k,,,
 comp 10,11417,4233,378,2021-10-01 16:00:39.73867+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 16:00:39.73867+00,1k-5k,,,
 comp 15,9067,6870,976,2021-10-01 16:00:39.73867+00,5k-10k,,,
 comp 17,17015,856,264,2021-10-01 16:00:39.73867+00,Over 10k,,,
 comp 18,6049,1746,674,2021-10-01 16:00:39.73867+00,5k-10k,,,
 comp 10,11413,4234,378,2021-09-30 23:00:35.965228+00,Over 10k,,,
 comp 14,3487,822,90,2021-09-30 23:00:35.965228+00,1k-5k,,,
 comp 15,9068,6867,976,2021-09-30 23:00:35.965228+00,5k-10k,,,
 comp 17,16907,853,264,2021-09-30 23:00:35.965228+00,Over 10k,,,
