"city","follower_count","created_date","time_period","end_timestamp"
"Sydney, New South Wales",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Kathmandu, Bagmati Zone",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Salford, England",4,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"London, England",21,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Dhaka, Dhaka Division",5,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Urmston, England",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Playa del Carmen, Quintana Roo",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Amsterdam, Noord-Holland",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Lambertville, Michigan",4,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Lisbon, Lisbon District",4,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Brno, South Moravian Region",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Austin, Texas",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Düsseldorf, Nordrhein-Westfalen",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Aba, Abia State",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Belper, England",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Honolulu, Hawaii",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Chicago, Illinois",5,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Paris, Île-de-France",4,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Badung, Bali",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Brikama, West Coast Division ",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Serekunda, Banjul",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Delhi, Delhi",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Los Angeles, California",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Madrid, Comunidad de Madrid",4,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Temperance, Michigan",6,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Edinburgh, Scotland",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Colorado Springs, Colorado",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Dallas, Texas",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Kampala, Kampala District",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Toronto, Ontario",3,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Mexico City, Distrito Federal",4,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Wolverhampton, England",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Toledo, Ohio",7,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"San Francisco, California",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Waltham, Massachusetts",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Bedford, England",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Tehran, Tehran Province",2,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"New York, New York",9,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Arusha, Dar es Salaam",5,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
"Dubai, Dubai",7,"2021-09-30 12:00:37.528938+00","lifetime","2021-09-29 07:00:00+00"
