"gender","age_range","follower_count","created_date","time_period","end_timestamp"
"F","13-17",1,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","18-24",36,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","25-34",154,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","35-44",49,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","45-54",15,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","55-64",8,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","65+",2,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"M","13-17",4,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"M","18-24",23,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"M","25-34",100,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"M","35-44",42,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"M","45-54",15,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"M","55-64",7,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","13-17",7,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","18-24",64,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","25-34",121,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","35-44",36,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","45-54",11,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","55-64",1,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"U","65+",2,"2021-09-30 12:00:37.53233+00","lifetime","2021-09-29 07:00:00+00"
"F","18-24",15,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"F","25-34",107,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"F","35-44",35,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"F","45-54",8,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"F","55-64",5,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"F","65+",1,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","13-17",1,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","18-24",18,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","25-34",68,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","35-44",25,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","45-54",8,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","55-64",5,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"M","65+",1,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"U","13-17",3,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"U","18-24",32,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"U","25-34",66,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"U","35-44",19,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"U","45-54",6,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"U","55-64",1,"2021-07-28 12:00:42.961047+00","lifetime","2021-07-27 07:00:00+00"
"F","18-24",16,"2021-07-29 12:00:43.647725+00","lifetime","2021-07-28 07:00:00+00"
"F","25-34",111,"2021-07-29 12:00:43.647725+00","lifetime","2021-07-28 07:00:00+00"
"F","35-44",36,"2021-07-29 12:00:43.647725+00","lifetime","2021-07-28 07:00:00+00"
"F","45-54",8,"2021-07-29 12:00:43.647725+00","lifetime","2021-07-28 07:00:00+00"
