"metric","time_period","end_timestamp","value","created_date"
"follower_count","day","2021-09-29 07:00:00+00",0,"2021-09-30 12:00:37.285904+00"
"impressions","day","2021-09-29 07:00:00+00",615,"2021-09-30 12:00:37.285904+00"
"profile_views","day","2021-09-29 07:00:00+00",29,"2021-09-30 12:00:37.285904+00"
"reach","day","2021-09-29 07:00:00+00",486,"2021-09-30 12:00:37.285904+00"
"website_clicks","day","2021-09-29 07:00:00+00",2,"2021-09-30 12:00:37.285904+00"
"impressions","day","2021-07-27 07:00:00+00",523,"2021-07-28 12:00:42.611836+00"
"profile_views","day","2021-07-27 07:00:00+00",33,"2021-07-28 12:00:42.611836+00"
"reach","day","2021-07-27 07:00:00+00",372,"2021-07-28 12:00:42.611836+00"
"website_clicks","day","2021-07-27 07:00:00+00",0,"2021-07-28 12:00:42.611836+00"
"impressions","day","2021-07-28 07:00:00+00",917,"2021-07-29 12:00:42.93576+00"
"profile_views","day","2021-07-28 07:00:00+00",37,"2021-07-29 12:00:42.93576+00"
"reach","day","2021-07-28 07:00:00+00",743,"2021-07-29 12:00:42.93576+00"
"website_clicks","day","2021-07-28 07:00:00+00",0,"2021-07-29 12:00:42.93576+00"
"impressions","day","2021-07-29 07:00:00+00",815,"2021-07-30 12:00:40.043545+00"
"profile_views","day","2021-07-29 07:00:00+00",26,"2021-07-30 12:00:40.043545+00"
"reach","day","2021-07-29 07:00:00+00",667,"2021-07-30 12:00:40.043545+00"
"website_clicks","day","2021-07-29 07:00:00+00",0,"2021-07-30 12:00:40.043545+00"
"impressions","day","2021-07-30 07:00:00+00",233,"2021-07-31 12:00:46.274624+00"
"profile_views","day","2021-07-30 07:00:00+00",23,"2021-07-31 12:00:46.274624+00"
"reach","day","2021-07-30 07:00:00+00",162,"2021-07-31 12:00:46.274624+00"
"website_clicks","day","2021-07-30 07:00:00+00",1,"2021-07-31 12:00:46.274624+00"
"impressions","day","2021-07-31 07:00:00+00",184,"2021-08-01 12:00:42.433506+00"
"profile_views","day","2021-07-31 07:00:00+00",16,"2021-08-01 12:00:42.433506+00"
"reach","day","2021-07-31 07:00:00+00",87,"2021-08-01 12:00:42.433506+00"
"website_clicks","day","2021-07-31 07:00:00+00",2,"2021-08-01 12:00:42.433506+00"
"impressions","day","2021-08-01 07:00:00+00",3010,"2021-08-02 12:00:51.431901+00"
"profile_views","day","2021-08-01 07:00:00+00",28,"2021-08-02 12:00:51.431901+00"
"reach","day","2021-08-01 07:00:00+00",2726,"2021-08-02 12:00:51.431901+00"
"website_clicks","day","2021-08-01 07:00:00+00",0,"2021-08-02 12:00:51.431901+00"
"impressions","day","2021-08-02 07:00:00+00",885,"2021-08-03 12:00:42.086245+00"
"profile_views","day","2021-08-02 07:00:00+00",61,"2021-08-03 12:00:42.086245+00"
"reach","day","2021-08-02 07:00:00+00",218,"2021-08-03 12:00:42.086245+00"
"website_clicks","day","2021-08-02 07:00:00+00",0,"2021-08-03 12:00:42.086245+00"
"impressions","day","2021-08-03 07:00:00+00",785,"2021-08-04 12:00:48.682853+00"
"profile_views","day","2021-08-03 07:00:00+00",38,"2021-08-04 12:00:48.682853+00"
"reach","day","2021-08-03 07:00:00+00",259,"2021-08-04 12:00:48.682853+00"
"website_clicks","day","2021-08-03 07:00:00+00",1,"2021-08-04 12:00:48.682853+00"
"impressions","day","2021-08-04 07:00:00+00",506,"2021-08-05 12:01:00.422799+00"
"profile_views","day","2021-08-04 07:00:00+00",30,"2021-08-05 12:01:00.422799+00"
"reach","day","2021-08-04 07:00:00+00",171,"2021-08-05 12:01:00.422799+00"
"website_clicks","day","2021-08-04 07:00:00+00",0,"2021-08-05 12:01:00.422799+00"
"impressions","day","2021-08-05 07:00:00+00",3888,"2021-08-06 12:01:20.599554+00"
"profile_views","day","2021-08-05 07:00:00+00",50,"2021-08-06 12:01:20.599554+00"
"reach","day","2021-08-05 07:00:00+00",3444,"2021-08-06 12:01:20.599554+00"
"website_clicks","day","2021-08-05 07:00:00+00",1,"2021-08-06 12:01:20.599554+00"
"impressions","day","2021-08-06 07:00:00+00",589,"2021-08-07 12:00:58.252341+00"
"profile_views","day","2021-08-06 07:00:00+00",33,"2021-08-07 12:00:58.252341+00"
"reach","day","2021-08-06 07:00:00+00",231,"2021-08-07 12:00:58.252341+00"
"website_clicks","day","2021-08-06 07:00:00+00",0,"2021-08-07 12:00:58.252341+00"
"impressions","day","2021-08-07 07:00:00+00",207,"2021-08-08 12:00:58.193184+00"
