,stopwords
0,because
1,not
2,yours
3,no
4,here
5,until
6,o
7,do
8,haven
9,weren
10,has
11,s
12,yourselves
13,don
14,this
15,above
16,few
17,mightn
18,if
19,more
20,about
21,on
22,should
23,just
24,ma
25,will
26,only
27,does
28,ain
29,hasn't
30,haven't
31,these
32,ours
33,ve
34,over
35,y
36,out
37,there
38,your
39,been
40,myself
41,those
42,we
43,you'll
44,whom
45,an
46,all
47,which
48,i
49,ourselves
50,she's
51,very
52,have
53,couldn't
54,their
55,to
56,that'll
57,what
58,and
59,shan
60,are
61,as
62,should've
63,under
64,now
65,weren't
66,my
67,who
68,yourself
69,being
70,a
71,down
72,doesn
73,m
74,off
75,isn't
76,before
77,into
78,himself
79,below
80,from
81,during
82,why
83,any
84,that
85,hadn't
86,wasn't
87,they
88,mustn
89,some
90,then
91,you've
92,hasn
93,aren
94,against
95,aren't
96,other
97,again
98,doing
99,between
100,once
101,were
102,when
103,own
104,t
105,mightn't
106,is
107,he
108,nor
109,for
110,won
111,her
112,where
113,how
114,by
115,both
116,herself
117,am
118,needn
119,wouldn't
120,through
121,most
122,had
123,same
124,at
125,couldn
126,shouldn't
127,wouldn
128,was
129,in
130,hadn
131,each
132,it
133,ll
134,or
135,did
136,you
137,too
138,further
139,him
140,didn't
141,she
142,its
143,of
144,his
145,theirs
146,you'd
147,d
148,won't
149,wasn
150,doesn't
151,than
152,don't
153,our
154,itself
155,isn
156,having
157,so
158,didn
159,the
160,can
161,it's
162,hers
163,needn't
164,while
165,mustn't
166,but
167,shan't
168,themselves
169,such
170,re
171,be
172,them
173,with
174,shouldn
175,you're
176,me
177,up
178,after
